text,label_bias
"Buttigieg, who competed with Biden for the nomination beforeÂ dropping outÂ and endorsing him,Â would be the firstÂ openly gay Cabinet secretary confirmed by the Senate.",Non-biased
"By any sensible measure, the Trump administration is among the worst ever seen for respecting, valuing, and following science.",Biased
"By bringing BLM into the classroom, activist educators are allowing the most radically divisive movement in modern American history to warp childrenâ€™s worldviews.",Biased
"By forcing us to abandon our regular routines and habits, if not our livelihoods, the pandemic has led us to postpone many of the activities from which we derive joy and pleasure. Our society often operates under the premise of instant gratification, a concept that has gone out the window given the uncertainty surrounding the virus.",Non-biased
"By Monday morning he was considering a dramatic move â€” invoking the Insurrection Act so that he could use federal troops to enforce the law. According to a senior defense official, Trump wanted 10,000 federal troops immediately on the streets to control a situation some aides believed could escalate dangerously.",Non-biased
"By supporting Medicare for All, ACP is supporting dramatic pay cuts for its members.",Biased
"By the time Officer Joseph Ferrigno shot a Black man from behind, court records show, the Rochester cop had drawn at least 23 misconduct complaints in nearly nine yearsÂ on the force",Non-biased
"California Governor Gavin Newsom said on Monday he would ease the stateâ€™s stay-at-home orders by Thursday, expanding the number of retail businesses that can provide curbside services.",Non-biased
California has a ten-day waiting period on gun purchases yet that state also witnesses some of the most heinous public firearm-based attacks in the nation.,Biased
Californiaâ€™s only â€œachievementâ€ in health care is extending â€œfreeâ€ benefits to illegal aliens.,Biased
"Calls are growing for police to be banned from marching in Pride parades and for the LGBT+ events to return to their roots as rebellions against police brutality amid a rolling, global anti-racism movement.",Non-biased
"Calls for the removal of these monuments, which came on the back of massive Black Lives Matter protests earlier this month and subsequent efforts by some local governments to reform their police forces, were sparked by the May 25 death of George Floyd, a Black man killed in police custody.",Non-biased
"Campaigners for gender equality took to European city streets on Friday to mark International Womenâ€™s Day with celebrations and protests, while in Turkey police fired tear gas to break up a crowd of several thousand women in Istanbul in the evening.",Non-biased
"Can the loyalty of Trump voters withstand racial tensions, cities on fire, stores looted, and people being beaten and killed in the streets? Yes. If the left keeps comparing gun owners to slave owners. If they advocate throwing white women out of airplanes; if they beat their neighbors with two-by-fours; if they murder a 77-year-old former police chief and broadcast it on Facebook Live.",Biased
"Canada expects to make a financial contribution to the international vaccine coalition known as COVAX, the federal government says, aiming to equitably distribute an eventual COVID-19 vaccine to poorer countries that couldnâ€™t afford it.",Non-biased
Canadian Prime Minister Justin Trudeau on Friday took a knee during an anti-racism protest on Parliament Hill in Ottawa but was still mocked by his fellow demonstrators.,Non-biased
"Cancellation of a two-week United Nations meeting on gender equality, female empowerment and â€œwomenâ€™s issuesâ€ due to the coronavirus outbreak sparked an outcry from 12,000 disappointed delegates, diplomats and non-government organizations scheduled to fly into New York for the event and work towards ending â€œdefault male thinkingâ€ across the globalist organization.",Biased
"Capitalism, as Thomas Pikettyâ€™sÂ Capital in the Twenty-First CenturyÂ shows, relentlessly worsens wealth and income inequalities.Â ",Non-biased
"Capping nearly four weeks of protests and national soul-searching aroused by the death of a Black man, George Floyd, under the knee of a white police officer, demonstrators took to the streets from Atlanta to Oakland, California, blending the Juneteenth holiday with calls for racial justice.",Non-biased
"Carlson warned if Trump was unsuccessful in efforts to restore order, he could lose the 2020 presidential election.",Non-biased
"Carmen Lodato wears a pin with her motherâ€™s face â€” a reminder of the heart-wrenching murder six years ago in Alexandria, Va., that got her into the fight for gun control.",Biased
Cartoon dubious rich person Betsy DeVos issued a new rule on Thursday that will require public schools to share more of the CARES Act relief fundsâ€”meant for public schoolsâ€”with private schools.,Biased
"Cartwright, who represents Pennsylvaniaâ€™s eighth congressional district, launched a campaign ad recently, claiming that Bognet would eliminate health insurance coverage for millions of Americans.",Biased
Catholic League president Bill Donohue slammed New York mayor Bill de Blasio Friday for his irrational coronavirus lockdown rules and anti-religious animus.,Biased
CBS Late Show host Stephen Colbert claimed on Tuesday that President Donald Trumpâ€™s describing himself as a â€œnationalistâ€ serves as an indication of his hidden sympathy for white nationalist movements such as Ku Klux Klan.,Biased
"Celebrities have already pledged to donate more thanÂ $115 millionÂ to Black Lives Matter and various social justices causes, while various mega-corporations have pledged to donate more thanÂ $454 Million.",Non-biased
"Celebrity activist Alyssa Milano declared at a rally in Washington, D.C. Tuesday that because she has a vagina, she doesnâ€™t have â€œequality and justiceâ€ in America.",Non-biased
Celebrity Pseudoscience: Here Are Nine Household Names Whoâ€™ve Pushed Bad Science on The Public,Biased
Cerio was reportedly screaming in agony on the floor and could be seen on video clutching both her legs in pain before she was tended by medical staff and athletic trainers.,Non-biased
"Certainly, in a cult revolving around an omnipotent, all-seeing hero who in their mythology is reliably ten steps ahead of the nefarious liberal criminals overseeing a global pedophilia ring about to be brought to ground, the notion of a legitimate defeat at the polls is inconceivable.Â ",Biased
"Certainly, the disadvantaged citizens of Alabama or Mississippi or Tennessee aren't to blame for the demagogic nonsense uttered by Republicans who misrepresent them in Congress, and they don't deserve to be punished either.",Biased
"Charleston, West Virginia is the most recent small city to be secretly targeted by the Obama administration and the politically-powerful resettlement agency industry as a site to place more refugees.",Biased
Chelsey Nelson is suing Louisville over a city law that prevents businesses from discriminating against gay customers.,Non-biased
Chernobyl is basically a more benign version of the Republican Party.,Biased
Chicago Police Superintendent David Brown described the 20-year-old as an armed male whoÂ allegedly pointed a gun at officers and â€œshot at officers first.â€,Non-biased
"Child rights agency UNICEF on Wednesday called for the Nigerian government to â€œurgently review the caseâ€ of a 13-year-old boy sentenced to ten years in prison for blasphemy last month in majority Muslim Kano State, which practicesÂ sharia, the Islamic law.",Non-biased
"China â€“ the country that throws its minorities into concentration camps and uses them for slave labor, the brutal authoritarian regime driven by Han Chinese racial supremacist ideology, the government that thinks nothing of wiping out entire villages if it needs to build a few dams quickly to put on a good show for the Olympics â€“ boasted of its superior compassion and tolerance in the pages of the CCPâ€™s Global Times on Monday",Biased
"China announced retaliatory sanctions Monday against U.S. officials and entities, including Sen. Marco Rubio, R-Fla., after WashingtonÂ sanctioned senior Chinese officials who it claimedÂ are responsible for mass detentions, religious persecution and forced sterilization against Muslim Uighur minorities in China's Xinjiang province.",Non-biased
China appears to be feeding off similar complaints from the left in the United States. Complaints about partisan â€œgridlockâ€ are perennial and grow especially loud when Democrats and their highly sympathetic media are the ones complaining about Republicans getting in their way.,Biased
"China has ample capability to make COVID-19 vaccine and will prioritise supplies to developing countries when they are ready, the foreign ministry added.",Non-biased
"China is attacking the values of freedom, human rights, and sovereignty that the United States and other like-minded nations hold dear.",Biased
"China is poised to pass aÂ national security lawÂ for Hong Kong that the city's opposition lawmakers, analysts and U.S. officialsÂ say could plunge the semi-autonomous territory into its deepest turmoil since it returned to ChineseÂ ruleÂ in 1997.",Non-biased
"China is watching Japan-South Korea conflict carefully, nervous about the regional economic disruption but perhaps seeing an opportunity to isolate Japan and build stronger ties with South Korea.",Non-biased
China stocks were mixed on Wednesday as profit-taking in healthcare shares and concerns about tighter regulation over big tech firms offset optimism about consumption rebound and progress in developing a coronavirus vaccine.,Non-biased
"ChinaÂ has quietly allowed itsÂ currency, the yuan, to slide to its weakest level against the U.S. dollar in over a decade as the Trump administration ratcheted up attacks on Beijing over its crackdown on Hong Kong and handling of the COVID-19 outbreak.",Non-biased
"China, where the virus was first reported late last year, is also in talks with the WHO to have its domestically made vaccines assessed for international use.",Non-biased
"Chinaâ€™s economy has been slowing since last year as the trade war with the United States took a toll on factory activity, exports and domestic demand, suggesting that a spate of stimulus measures - including tax cuts and easier lending rules - have yet to have a notable effect on overall growth.",Non-biased
"Chinaâ€™s second-quarter economic growth slowed to its weakest pace in at least 27 years, in line with expectations, as demand at home and abroad cooled in the face of a bruising trade war with the United States.",Non-biased
Chinaâ€™s state-run media quickly seized on the obsessions of their American counterparts over the weekend by linking President Donald Trump to â€œwhite nationalismâ€,Biased
"Chinaâ€™s state-run propaganda newspaperÂ Global TimesÂ repeatedly gloated this weekend over the widespread destruction by radical leftists in the United States, claiming on Monday that â€œChinese netizens are cheeringâ€ looting and vandalism.",Biased
"Chinese companiesÂ are using a state-run labor program to force its mostlyÂ MuslimÂ Uighur minorities into manufacturing masks and other personal protective equipment to keep up with increased demands during theÂ coronavirusÂ pandemic, an investigation by the New York Times said Sunday.",Non-biased
Chinese officialsÂ demanded a public apology from aÂ Danish newspaperÂ on Tuesday for publishing a cartoon replacing the five stars on the national flag of theÂ People's Republic of ChinaÂ with drawings ofÂ five microscopic particlesÂ of theÂ coronavirus.,Non-biased
"Chinese state media outlets have been bursting with criticism for President Donald Trump during the current round of riots, but the Chinese Communist Party (CCP) also tossed a few bricks at former President Barack Obama and his Democrat Party, needling them for doing little about racial issues and touting Chinaâ€™s efforts to care for its poor and disenfranchised as vastly superior to the Democratsâ€™ half-hearted socialism.",Biased
"Christian persecution around the globe reached an unprecedented level at the end of 2019, with over 260 million Christians facing â€œhigh levels of persecution,â€ Open Doors revealed Wednesday.",Non-biased
"Christians in eastern Uganda are among those in their faith who face the most serious dangers in the world, according to World Watch Monitor, a group that tracks persecutions of Christians.",Non-biased
Christians should make clear that the perpetuation of objectionable vaccines and the lack of alternatives is a kind of coercion.,Biased
Citizens of all political stripes are snapping up guns and ammunition in record numbers.,Non-biased
"Civil rights activists across the United States for years have called for scaling back traditional policing, and the efforts have gained momentum through protests over the death of George Floyd in Minneapolis police custody last month.",Non-biased
"Climate change contributed to drastic declines in the population and diversity of bumblebees across North America and Europe, according to a long-term study of more than 60 bee species published Thursday in the journal Science.",Non-biased
Climate change is threatening global coffee yields as changing temperatures and rainfall patterns affect plant growth.,Non-biased
"Climate change, which is the subject of fierce debate, may lead to a ""substantial increase"" in the number of extreme rainstorms, according to a startling new study by NASA.",Non-biased
Climate Wunderkind Greta Thunberg has garnered gushing praise from celebrities during her environmental crusade.,Biased
"Close to one third of young U.S. adults appear to have an elevated risk for severe COVID-19, with smoking their strongest risk factor, according to survey data.",Non-biased
Closing the gender pay gap is not rocket science â€“ even though recently graduated female rocket scientists earn 89 cents on the dollar to their male peers.,Biased
"CNN anchor Chris Cuomo was quick to defend climate activist Greta Thunberg from ""Trumpers"" who mocked her on Thursday but was quickly reminded about the settlement his network recently made with Covington Catholic High School student Nick Sandmann.",Biased
"CNN Hires Woke Saints Safety Malcolm Jenkins to Comment on Race, Social Justice Issues",Biased
CNN national correspondent John King ripped President Donald Trump for not mentioning climate change in his second State of the Union address.,Biased
"Coach Guerrier adds that the refereeâ€™s continued mid-game scrutiny ultimately made â€œa spectacleâ€ of her daughter, and that he continued to insist that something would have to be done as the child grows up and continues to compete in the sport.",Non-biased
"Cohen said political leaders are playing with fire when they promote white supremacist talking points, such as exaggerated claims of the security threat immigrants present and their supposed drain on public resources, to stoke their supporters.",Biased
"Coincidentally, many Republican lawmakers who voted for the largest tax cut signed into law by Trump personally owned some of the same stocks whose values significantly increased as a result.",Non-biased
"Colin P. Clarke has been teaching a course on terrorism and insurgency at Carnegie Mellon University in Pittsburgh for four years, and much more of his class these days is devoted to white supremacy than in the past.",Non-biased
"Collins, often described as a â€œmoderate,â€ is not a far-right wingnut; the Maine senator leans conservative but isnâ€™t an extremist like Rep. Devin Nunes of California or Rep. Jim Jordan of Ohio.Â ",Biased
"Communist-run Cuba will deliver its verdict in a closely watched case against Jose Daniel Ferrer, one of the countryâ€™s leading dissidents, on March 12, his wife told Reuters on Thursday, the day after his trial.",Non-biased
Confederate symbols have become a flashpoint in the protests that have sometimes turned violent and destructive.,Non-biased
"Confusion, complaints of missing mail-in ballots and long lines at some polling centers marred primary elections on Tuesday in eight states and the District of Columbia, the biggest test yet of voting during the coronavirus outbreak.",Non-biased
"Congress has not set an annual limit on the number of visa workers who can be sponsored for green cards, so the resident population of permanent â€œtemporary workersâ€ is growing fast â€” and is helping to suppress wages for American graduates.",Non-biased
"Congressional Democrats are debating whether to expand the scope of their inquiry into President Donald Trumpâ€™s taxes to include his business tax returns along with his personal returns, a risky step seen by some as crucial to effective oversight.",Non-biased
"Congressional Democrats are disputing the president's authority to do this. Republican lawmakers are planning their own investigation, examining the early response by the WHO and the Chinese government.",Non-biased
Connecticut State Police showed support for the protesters as troopers knelt along with them.,Non-biased
"Conservative activist and author Pamela Geller has filed a lawsuit against New York City Mayor Bill de Blasio (D), alleging that the cityâ€™s continued suspension of the right to assemble is a violation of the Constitution.",Non-biased
"Conservative Christians exploded on social media, citing the controversy as further proof that their faith is under attack by intolerant liberals and coastal elites who care little about human life.",Biased
"Conservative commentator Ben Shapiro wants you to know that heâ€™s so pro-life, he wouldnâ€™t even consider aborting baby Hitler.",Biased
"Conservative Republican Senator Ted Cruz favors offering a choice of cheaper healthcare plans that would not have to meet minimum standards established by Obamacare, such as coverage for maternity care and prescription drugs.",Non-biased
Conservatives are rallying behind Vox journalist Matthew Yglesias after he was publically shamed by one of his colleagues forÂ signing an open letterÂ combatting cancel culture.,Non-biased
"Conservatives Win In Poland, And Leftist Media With No Better Ideas Calls It Bigotry",Biased
"Considering the negative, often false propaganda uttered by politicians hostile to Social Security and the financial services industry, and misleading media coverage, that is not surprising, that many young people have been conditioned to think they should not count on Social Security to be there when their time to retire rolls around.",Biased
"Consistently, Trump has fed the menacing right-wing misinformation machine by repeatedly insisting that the virus is â€œgoing to go away.â€ He has systematically undermined his own top scientists and is now ignoring them altogether.",Biased
"Convicted Russian agent Maria Butina was released from a Florida prison on Friday after serving most of her 18-month sentence for conspiring to influence U.S. conservative activists and infiltrate a powerful gun rights group, and taken into custody by immigration officials to be deported to her native country.",Non-biased
Conway recycled a right-wing talking point that falsely claims a bill designed to loosen certain restrictions on late-term abortions in Virginia is â€œinfanticideâ€ during her Monday appearance on â€œOutnumbered Overtime with Harris Faulkner.â€,Biased
"Cops are to blame for much of this mayhem. Video clipsÂ showÂ them wildly out of control, inciting violence and inflicting it, instead of defusing and preventing it.",Biased
"Corinthian College Inc. is the bankrupted and criminal organization that Marco Rubio was defending just this past year, probably because he got a boatload of money from them in campaign organizations. Over the past 10 years it has come to lightâ€”through numerous lawsuits and state and federal investigationsâ€”that untold billions of dollars has been swindled out of student and taxpayersâ€™ pockets by this private educational company.",Biased
"Coronavirus truthers ignorantly believe that the mainstream media, Democrats, liberals, progressives and Never Trump conservatives have been exaggerating the threat of COVID-19.",Biased
Coronavirus vaccine and quarantine protesters in America form an unholy COVID-19 alliance.,Biased
Coronavirus vaccine and quarantine protesters in America form an unholy COVID-19 alliance. These groups have converged to spread the same dangerous and self-defeating message.,Biased
Coronavirus: E.U. blasts Trump's travel ban as it unleashes chaos and confusion.,Biased
"Countless American believers in the Bible, myself included, were inspired tremendously on Monday when President Trump stood in front of St. Johnâ€™s Episcopal Church, across the street from the White House, and held up the Word of God for all to see.",Non-biased
Court filings show the NRA is in shambles â€” and Wayne LaPierre hopes his lawyer can â€˜keep him out of jailâ€™,Non-biased
"Court made clear what was otherwise evident then: Rubio and his fellow Republicans didnâ€™t kill Obamacare, they only made it a bigger mess.",Biased
CPA Chairman Dan DiMicco said the award is further validation from mainstream economists that permanent tariffs on Chinese imports are key to driving U.S. job growth.,Non-biased
Crisis in chief: The president is spreading disinformation about the coronavirus â€” and there's no way to stop him,Biased
"Critical education has now turned into indoctrination on critical race theory. SomeÂ 4,500Â classrooms have adopted the New York Timesâ€™ anti-American â€œ1619 Projectâ€ into their curricula.",Biased
"Critics of the federal refugee resettlement program warn that, if elected,Â Hillary Clinton will flood the country with Muslim refugees.",Biased
Critics of the Trump administrationâ€™s immigration policies have said such policies violate migrantsâ€™ rights and further endanger them by making them wait in dangerous border towns or in one of the most violent countries in the world lacking robust asylum systems.,Non-biased
"CTE is a degenerative brain disease that has been found in former players of North American football , soccer, hockey, rugby union and others exposed to repeated head injury.",Non-biased
"Cubaâ€™s health ministry initially vowed an investigation into Paloma Dominguez Caballeroâ€™s death; last week, state media published a report essentially absolving the government of any wrongdoing, categorically stating that nothing was wrong with the vaccine Dominguez received.",Non-biased
"Cuban slave doctors that have escaped the system have said that, while working abroad, the Castro regime forced them to invent patients and throw away perfectly good medicine to boost the statistics on the number of patients Cuban doctors actually treat.",Biased
"Cuomo has been championed by the mainstream media for his response to the coronavirus pandemic in New York City, but his state-wide response to nursing homes deserves anything but the glowing praise heâ€™s received.",Biased
"Curiously, both Kelly and Yen seem unaware of the influx of undocumented immigrants pouring into this country daily from countries with very low vaccination rates...",Biased
"Currently, women make up only about a quarter of workers in STEM careers, and they earn considerably less than men.",Non-biased
"Dalelio, an anti-vaccine demostrator, was reportedly protesting a new state law that would stifle fraudulent medical exemptions for vaccinations.",Non-biased
"David Rothkopf, an anti-Trump commentator, cited the coronavirus pandemic in telling Parscale ""you should have considered the term 'Death Star' a little more carefully-what with the 100,000 or more people who are likely to die because of your candidate's failed leadership.""",Biased
"Davis, who is a leader on social justice causes off and on the field, told Sports Illustratedâ€™sÂ Jets CountryÂ over the weekend that he welcomes â€œLift Every Voice and Singâ€ but knows thereâ€™s still more to be done when it comes to racial equality in the U.S.",Non-biased
Day said that some Democrats had phoned her to say they would not vote for Hillary Clinton because of her extreme pro-abortion stance.,Non-biased
"deadline for the U.S. Internal Revenue Service to turn President Donald Trumpâ€™s tax returns over to a congressional tax oversight committee expired on Tuesday without lawmakers receiving the documents, a committee aide said.",Non-biased
Debates about the viability of school voucher programs have focused in recent months on programs with lackluster or spotty academic records. But thereâ€™s another issue raised by the potential expansion of public financing for private schools: an exacerbation of segregation.,Biased
"Debates over gun controlÂ continue across the country,Â tornadoes, hurricanes and wildfiresÂ seem to increase in numbers and size each year.",Non-biased
"Defense lawyer Damon Cheronis asked one group whether they would consider the cross-examination of a woman who said she was assaulted as â€œvictim-shaming,â€ and whether they thought it was possible that a woman might â€œreframeâ€ a consensual sexual encounter as an assault years later.",Non-biased
"Defense Secretary Mark Esper has issued a policy ushering in a de facto ban on displaying the Confederate flag at U.S. military installations around the world by authorizing only certain flags that promote unity, according to a copy of his memo, seen by Reuters on Friday.",Non-biased
Dem Senators Say Mismanaged Student Loan Program Screwed Thousands,Biased
"Demagogue that he is and that heâ€™s toyed with becoming since well before he ran for president, Donald Trump used his June 2 rant against looting and thuggery after George Floydâ€™s murder to bang the drum for a civil war that heâ€™s been toying with starting ever since he took out full-page newspaper ads in 1989, calling for the death penalty and greater police presence even after the charges against young black men in the Central Park jogger attack were soon found to beÂ  baseless.",Biased
"Demagogue that he is and that heâ€™s toyed with becoming since well before he ran for president, Donald Trump used his June 2 rant against looting and thuggery after George Floydâ€™s murder to bang the drum for a civil war that heâ€™s been toying with starting ever since he took out full-page newspaper ads in 1989, calling for the death penalty and greater police presence even after the charges against young black men in the Central Park jogger attack were soon found to beÂ  baseless.Â ",Biased
"Democracy probably cannot survive, after all, if one of our two major political parties is indifferent to its fate.",Non-biased
"Democrat leaders have distanced themselves from the push to â€œdefund the police,â€ which has become a battle cry for many Floyd protesters.",Non-biased
"Democrat megadonor and healthcare executive Judy Faulkner has tried to block a Trump healthcare rule that would cut healthcare costs, grant patients more control over their healthcare data, and preserve her companyâ€™s dominant status in the electronic healthcare record market.",Biased
"Democrat presidential candidate Joe Biden urged members of the U.S. Womenâ€™s National Soccer team to keep fighting for equal pay, after a judge threw out their lawsuit claiming discrimination.",Non-biased
"Democrat presidential candidate Joe Biden, who boasted during the CNN debate Sunday evening of his 100 percent rating from abortion political advocacy group NARAL,Â presentsÂ his â€œAgenda for the Catholic Communityâ€ at his campaign website.",Biased
Democrat presidential hopeful Pete Buttigieg apparently felt the sting of Rush Limbaughâ€™s recent comments about his masculinity and lashed out at the radio icon and Trump supporters in an interview with Ellen DeGeneres.,Biased
Democrat presidential hopeful Sen. Amy Klobuchar (D-MN) attempted to slam Democrat challenger former New York City Mayor Michael Bloomberg after he said it takes him a â€œlong timeâ€ to get materials together to release his tax returns and claimed he â€œcanâ€™t go to TurboTax.â€,Biased
"Democrat Stacey Abrams, who lost the 2018 gubernatorial election in Georgia and now runs a voters right organization, praised South Koreaâ€™s recent vote-by-mail election at the hearing.",Non-biased
"Democratic candidates attacked Republican U.S. President Donald Trumpâ€™s handling of the coronavirus outbreak on Thursday, as stocks plunged on fears of the growing outbreak",Non-biased
Democratic lawmakers and environmental groups say the changes will exempt polluters from public scrutiny of their projects.,Non-biased
Democratic presidential candidate Beto Oâ€™Rourke on Monday unveiled an ambitious plan to combat climate change that spurs $5 trillion for the cause and aims to achieve net-zero emissions by 2050.,Non-biased
"Democratic presidential candidate Joe Biden on Tuesday blasted President Donald Trumpâ€™s response to U.S. protests over racism and police misconduct, vowing to try to heal the countryâ€™s racial divide and not â€œfan the flames of hate.â€",Biased
"Democratic presidential candidate Joe Biden promised black community leaders in Delaware on Monday he would earn their support amid nationwide police brutality protests, saying he would create a police oversight board within his first 100 days in the White House.",Non-biased
Democratic presidential candidate Sen. Bernie Sanders says he wants to spend a whopping $2.5 trillion over a decade to guarantee all Americans â€“ regardless of income â€“ safe and affordable housing.,Non-biased
"Democratic presidential hopeful Cory Booker on Monday unveiled a sweeping plan to reduce gun violence that includes establishing a national gun licensing program, limiting individual purchases of firearms to one per month, and placingÂ a ban on assault weapons and high-capacity magazines.",Non-biased
"Democratic presidential hopeful Elizabeth Warren told a room full of liberal activists on Saturday that the party needs to fully embrace polices such as higher taxes on the wealthy, wiping out student loan debt and criminal justice reform if they want to win the White House.",Non-biased
Democratic presidential nominee Joe â€œYou Ainâ€™t Blackâ€ Biden seems to be trying to brand himself as a champion for small business.,Biased
"Democratic Rep. Gwen Moore of Wisconsin, a member of the Congressional Black Caucus, says the GOP is risking Americansâ€™ health and safety for â€œthe economic outcomes Trump desires.â€",Non-biased
"Democratic U.S. presidential candidate Joe Biden, who wears the nickname â€œworking class Joeâ€ with pride and courts a multi-racial voter base, faces a stern test of his ability to win nationally in Nevadaâ€™s mining towns and unionized gambling parlors.",Non-biased
Democratic U.S. Rep. David Cicilline of Rhode Island eloquently blasted Republican Rep. Matt Gaetz of Florida during Wednesdayâ€™s House hearing on gun control.,Biased
Democrats also said some girls might risk being thrown out of their homes or beaten if they tell their parents they're pregnant.,Biased
"Democrats and other critics blasted Trump's plan to reduce the scope of the task force Tuesday, given the threat that death tolls would rise as states reopen businesses and other parts of their economies.",Biased
"Democrats and Republicans have long conflated â€œpolicingâ€ with â€œpublic safety,â€ in part because large shares of voters have, too. But local and national polling had shown that the publicâ€™s views of policing and criminal justice had begun to shift even before the protests, thanks to the work of Black Lives Matter and organizers and activists.",Non-biased
"Democrats and Republicans stood and applauded after Illinois Rep. Rodney Davis, the top Republican on the House Administration Committee, saluted Haaland for making history as the first Native American woman to preside over the chamber.",Non-biased
"Democrats are also using the crisis to push for greater immigration, despite the overwhelming public demand that Americans get hired for any jobs during the crash.",Non-biased
"Democrats are gearing up to turn abortion into a key issue for the 2020 elections, saying it could turn out to be an issue that mirrors the fight to preserve the Affordable Care Act in 2018.",Non-biased
"Democrats are pursuing Trumpâ€™s returns under a legal authority that aims to prevent interference from the White House on the Treasuryâ€™s decision whether to release the tax returns, in what the White House chief of staff has called a â€œpolitical stunt.â€",Non-biased
Democrats are shortsighted if they simply believe that creating new limits on gun ownership will increase Americansâ€™ safety.,Biased
"Democrats are suddenly obsessed with Lev Parnas, the Rudy Giuliani associate who was indicted on federal campaign charges last fall.",Biased
Democrats blocked a coronavirus package on Sunday that would provide economic relief to businesses and Americans suffering from the impact of the coronavirus outbreak,Non-biased
Democrats Claim Amy Coney Barrett Confirmation Would Threaten Health Care,Non-biased
Democrats effectively nationalized the student loan industry in 2010 by transferring eight million loans into the federal governmentâ€™s hands.,Non-biased
"Democrats have been nervous about pitching higher taxes, although a number have said they would reverse some of President Trumpâ€™s 2017 tax cuts.",Non-biased
Democrats have made it clear they will sandbag the people weâ€™ve elected to govern if we refuse to vote for Democrats.,Biased
Democrats have seethed as they helplessly watched the Trump administration undo or block a slew of Obama-era environmental proposals during the past two years.,Biased
Democrats Push Pork for Planned Parenthood in Coronavirus Package,Biased
"Democrats really donâ€™t want to spend billions of taxpayer dollars on a giant, ineffective border wall, so if Trump were try to come up with an offer designed to entice them, heâ€™d have to propose something that would be (a) enormous; and (b) wildly unpopular among Republicans.",Biased
"Democrats recently provided more funding for the stateâ€™s roads â€” through an unpopular, regressive gas tax hike rather than spending cuts on less urgent priorities.",Biased
Democrats said the move to overturn Obamacare would overshadow Republican President Donald Trumpâ€™s claim of victory following the conclusion of Special Counsel Robert Muellerâ€™s probe of Russian interference in the 2016 presidential election.Â ,Non-biased
"Democrats this week approved legislation to require background checks for essentially all sales and transfers of firearms -- but rejected GOP-led efforts to amend the legislation to alert law enforcement authorities when gun buyers, including illegals, fail those background checks.",Non-biased
Democrats tried to remove him for office for a scandal in which he did the same exact thing he's doing now â€” placing his own short-sighted interests above the needs of the country â€” but they failed.,Biased
"Democrats want to talk about taxes, but they are divided on what tax rates for the middle class should look like.",Non-biased
DemocratsÂ took the first step to repealÂ President Trumpâ€™s expanding travel bans Wednesday at a House Judiciary Committee session that devolved into a debate on whether the restrictions amount to a Muslim ban and whether itâ€™s OK to call Trump â€œoccasionally honestâ€.,Non-biased
"Democrats, who won control of the House in the November 2018 U.S. elections, say Trumpâ€™s personal returns would reveal whether he has complied with U.S. tax laws and any IRS audits, as well as his effective tax rate, business and investment income and charitable contributions.",Non-biased
"Derrick Morgan, senior vice president for federal and regulatory affairs for oil lobby group American Fuel & Petrochemical Manufacturers (AFRM), bragged about how successful the industry has been in pushing anti-protest legislation,",Biased
DeSantis was initially tentative to shut down outdoor recreational areas like beaches and was ridiculed by the media for his allegedly relaxed response.,Biased
"Despite a clear margin of victory for Biden, Trump has refused to concede.",Non-biased
"Despite a pandemic, one-sided presidential nomination contests, and nationwide protests about police violence and racial equality, the primaries were important â€” and instructive.",Non-biased
"Despite achieving a historic position of leadership in the highest level of national football, Sowers said she experienced LGBTQ discrimination in sports while in college, when was rejected from a volunteer coaching job because of her â€œlifestyle.â€",Non-biased
"Despite an estimate showing that China â€” the world's biggest polluter â€” emitted 25 percent less carbon than in the same four-week period the previous year, Shuo remains skeptical about any lasting changes.",Biased
"Despite Democrats regularly characterizing America as socially pathologized with anti-woman â€œsexismâ€ and â€œmisogynyâ€ â€” where women face greater cultural, economic, political, and social adversities relative to men â€” Warren framed her sex as a political asset in comparison to her male competitors for the Democratsâ€™ presidential nomination to defeat President Donald Trump in Novemberâ€™s general election.",Biased
"Despite encouraging and supporting unrest, Ocasio-Cortez simultaneously advises her Twitter followers to avoid â€œpublic placesâ€ due to the coronavirus outbreak",Biased
"Despite fears that neo-Nazis or other extremists would piggyback on the Richmond rally to stoke unrest like the violence at a 2017 demonstration by white nationalists in Charlottesville that killed a counter-protester, the Capitol Police reported just one arrest, a 21-year-old woman taken into custody for wearing a bandana over her face after twice being warned that masks were not allowed.",Non-biased
"Despite Portmanâ€™s insistence that she has tried to advance female directors, only one of her feature films was directed by a female.",Non-biased
"Despite pre-existing and new guidelines, critical decisions made by governors and state leadership have, in some cases, exacerbated the crisis. In New York, Gov. Cuomoâ€™s instruction for long-term care facilities to continue accepting patients with COVID-19 led to devastating results.",Biased
"Despite repeated setbacks, Smart made history as the first American to reach No. 1 in the world in saber fencing and later was on the silver-medal winning U.S. team in the 2008 Olympics.",Non-biased
"Despite saving millions upon millions of lives, vaccines have been meet with skepticism by a small but growing faction of conspiracy theorists. And Donald Trump, ""human megaphone that is the president of the United States,"" has only made matters worse by supporting an ""alternative vaccine schedule.""",Biased
"Despite the image portrayed of popular culture in the media, of those Millennials surveyed, only seven percent supported abortion without any exceptions and funded by taxpayer dollars â€” the position embraced by the Democrat Party.",Non-biased
"DeVos, like all Trump administration officials, is aÂ Clue-caricature villain.",Biased
"Dexter Faircloth stalked the streets of Houstonâ€™s Third Ward, the historic Black neighborhood where he was born and raised, shouting greetings and asking an urgent question.",Non-biased
